ctin,idt,val,pos,rchrg,etin,inv_typ,num,rt,txval,iamt,camt,samt,csamt,inum
ctin,idt,val,pos,rchrg,etin,inv_typ,num,rt,txval,iamt,camt,samt,csamt,inum
33GSPTN0822G1ZH,01-10-2017,58734.99,33,Y,,R,1,5,58000.88,2900.04,,,100.77,B2BC4UTAMD1000011111111
33GSPTN0822G1ZH,02-10-2017,34562.99,33,N,,SEWP,1,5,34000.88,1700.04,,,200.77,B2BC4UTAMD100002
33GSPTN0822G1ZH,02-10-2017,8945.99,33,N,,SEWP,2,12,8940.88,1072.91,,,300.77,B2BC4UTAMD100002
33GSPTN0822G1ZH,03-10-2017,12967.99,33,Y,,SEWOP,1,5,12900.88,645.04,,,400.77,B2BC4UTAMD100003
33GSPTN0822G1ZH,03-10-2017,86234.99,33,Y,,SEWOP,2,12,86000.88,10320.11,,,500.77,B2BC4UTAMD100003
33GSPTN0822G1ZH,03-10-2017,22345.99,33,Y,,SEWOP,3,18,22300.88,4014.16,,,600.77,B2BC4UTAMD100003
33GSPTN0822G1ZH,04-10-2017,6836.99,33,N,,DE,1,5,6800.88,340.04,,,700.77,B2BC4UTAMD100004
33GSPTN0822G1ZH,04-10-2017,683.99,33,N,,DE,2,12,600.88,72.11,,,800.77,B2BC4UTAMD100004
33GSPTN0822G1ZH,04-10-2017,34562.99,33,N,,DE,3,18,34000.88,6120.16,,,900.77,B2BC4UTAMD100004
33GSPTN0822G1ZH,04-10-2017,12967.99,33,N,,DE,4,28,12900.88,3612.25,,,1000.77,B2BC4UTAMD100004
33GSPTN0822G1ZH,05-10-2017,8945.99,33,Y,,R,1,5,8940.88,447.04,,,1100.77,B2BC4UTAMD100005
33GSPTN0822G1ZH,05-10-2017,12967.99,33,Y,,R,2,12,12900.88,1548.11,,,1200.77,B2BC4UTAMD100005
33GSPTN0822G1ZH,05-10-2017,86234.99,33,Y,,R,3,18,86000.88,15480.16,,,1300.77,B2BC4UTAMD100005
33GSPTN0822G1ZH,05-10-2017,22345.99,33,Y,,R,4,28,22300.88,6244.25,,,1400.77,B2BC4UTAMD100005
